epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,123712,1.59484,1.32463,0.01246,0.72801,0.67585,0.73631,0.41973,1.40004,1.23902,0.01622,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,127590,1.59137,1.29802,0.01234,0.73401,0.6803,0.74056,0.42097,1.40498,1.22979,0.01633,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,131454,1.5992,1.29148,0.01229,0.72918,0.68069,0.73933,0.42164,1.40738,1.19304,0.01643,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,135331,1.58297,1.28063,0.01221,0.74406,0.68069,0.7473,0.42611,1.39577,1.1765,0.01623,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,139191,1.57909,1.27412,0.01231,0.74416,0.67941,0.7483,0.42471,1.40957,1.17717,0.01656,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,143068,1.57775,1.26531,0.012,0.74682,0.68515,0.75102,0.42766,1.39564,1.18082,0.0161,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,146947,1.56404,1.27531,0.01199,0.73894,0.69023,0.7501,0.4279,1.39854,1.16071,0.01595,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,150854,1.57071,1.26075,0.0119,0.74063,0.68782,0.74918,0.42927,1.3952,1.16866,0.0159,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,154765,1.55563,1.23698,0.01205,0.74754,0.69104,0.75268,0.43363,1.39042,1.15739,0.01591,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,158698,1.55685,1.24752,0.01183,0.74731,0.6972,0.75477,0.43529,1.38934,1.1668,0.016,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,162634,1.55326,1.21727,0.01174,0.75598,0.68704,0.75625,0.43606,1.38461,1.15202,0.01584,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,166532,1.5452,1.21558,0.01182,0.73577,0.69858,0.75606,0.43648,1.39015,1.15199,0.0159,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,170393,1.54647,1.21249,0.01182,0.75209,0.68712,0.75673,0.43553,1.39557,1.144,0.01613,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,174192,1.53571,1.22115,0.01162,0.74704,0.69189,0.75706,0.4366,1.38361,1.13667,0.0159,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,178005,1.54501,1.1889,0.01157,0.73328,0.70747,0.7575,0.43764,1.38037,1.11458,0.01582,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,181839,1.52745,1.1759,0.01144,0.74086,0.70269,0.75864,0.43864,1.37826,1.11058,0.01577,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,185662,1.53509,1.1758,0.01161,0.75123,0.69395,0.75966,0.43985,1.37546,1.1022,0.0158,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,189476,1.5299,1.15642,0.01168,0.74995,0.69334,0.76007,0.44028,1.37234,1.10853,0.0157,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,193265,1.52203,1.14365,0.01152,0.74813,0.70035,0.76237,0.44329,1.37814,1.09558,0.01572,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
